Water supply facility,Phase,Sampling point,Standpipe type,Distance from storage tank (m),FCR (mg/L),pH,Temperature (Celcius),Conductivity (µS/cm),Turbidity (NTU),Date (mm/dd/year),Time (24hrs)
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.52,6.51,29.5,249,0.26,11/19/2021,10:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.85,6.38,30.1,244,0.20,11/19/2021,10:33
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.42,6.35,30.9,250,0.48,11/19/2021,10:44
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.72,6.54,29.9,251,0.24,11/19/2021,17:15
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.78,6.38,30.0,249,0.41,11/19/2021,17:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.32,6.29,30.4,248,0.14,11/19/2021,17:35
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.21,6.63,32.3,254,0.21,11/22/2021,10:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.11,6.48,32.2,253,0.20,11/22/2021,10:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.67,6.62,31.1,262,0.25,11/22/2021,10:28
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.25,6.55,32.3,266,0.29,11/22/2021,17:27
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.64,6.61,30.3,253,0.28,11/22/2021,17:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.93,6.55,30.4,255,0.20,11/22/2021,17:45
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.95,6.42,31.1,275,0.19,11/23/2021,10:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.85,6.49,31.7,261,0.30,11/23/2021,11:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.27,6.70,32.2,268,0.22,11/23/2021,11:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.26,6.76,33.8,439,0.14,11/23/2021,14:48
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.79,6.56,34.3,251,0.23,11/23/2021,15:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.50,6.55,31.9,290,0.67,11/23/2021,15:14
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.85,6.56,32.1,274,0.19,11/24/2021,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.92,6.58,31.1,255,0.11,11/24/2021,10:26
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.91,6.69,31.7,277,0.13,11/24/2021,10:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.86,6.70,30.2,253,0.18,11/24/2021,16:59
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.14,6.48,30.5,248,0.26,11/24/2021,17:07
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.87,6.61,31.9,256,0.14,11/24/2021,17:16
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.00,6.57,31.4,258,0.13,11/25/2021,10:00
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.87,6.55,31.8,242,0.25,11/25/2021,10:15
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.85,6.46,31.5,262,0.13,11/25/2021,10:25
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.85,6.54,31.2,263,0.16,11/25/2021,16:30
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.84,6.37,31.2,248,0.13,11/25/2021,16:39
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.88,6.52,31.4,252,0.13,11/25/2021,16:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.86,6.49,33.3,252,0.13,11/26/2021,11:46
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.00,6.44,32.6,250,0.15,11/26/2021,12:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.86,6.42,33.3,274,0.15,11/26/2021,12:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.94,6.54,NA,371,0.10,11/26/2021,15:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.94,6.49,34.0,261,0.20,11/26/2021,15:35
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.85,6.43,33.3,210,0.29,11/26/2021,15:46
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.61,6.55,31.9,256,0.09,11/29/2021,10:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.72,6.54,32.0,247,0.11,11/29/2021,10:32
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.44,6.71,32.2,265,0.09,11/29/2021,10:41
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.61,6.63,31.8,254,0.11,11/29/2021,17:06
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.78,6.47,30.7,257,0.10,11/29/2021,17:14
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.33,6.62,30.6,252,0.15,11/29/2021,17:22
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.49,6.61,30.3,258,0.11,11/30/2021,9:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.41,6.61,31.4,250,0.12,11/30/2021,9:46
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.33,6.60,31.4,270,0.09,11/30/2021,9:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.46,6.58,30.9,247,0.12,11/30/2021,17:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.44,6.59,31.1,249,0.09,11/30/2021,17:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.21,6.56,30.2,251,0.09,11/30/2021,17:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.71,6.37,31.4,254,0.12,12/1/2021,10:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.56,6.34,31.3,244,0.20,12/1/2021,10:27
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.40,6.68,31.1,253,0.14,12/1/2021,10:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.76,6.63,31.5,325,0.21,12/1/2021,13:55
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.70,6.52,32.1,256,0.08,12/1/2021,14:06
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.31,6.40,31.9,257,0.14,12/1/2021,14:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.87,6.55,31.2,259,0.12,12/2/2021,10:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.64,6.52,31.6,250,0.20,12/2/2021,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.70,6.66,32.0,255,0.21,12/2/2021,10:24
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.02,6.74,31.7,384,0.11,12/2/2021,14:44
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.03,6.64,31.6,252,0.10,12/2/2021,14:57
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.98,6.61,31.5,262,0.20,12/2/2021,15:07
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.10,6.44,30.1,256,0.10,12/3/2021,10:10
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.20,6.55,30.0,245,0.11,12/3/2021,10:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.88,6.66,30.0,241,0.13,12/3/2021,10:29
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.93,6.54,32.1,280,0.10,12/3/2021,14:39
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.15,6.60,32.7,257,0.08,12/3/2021,14:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.05,6.53,31.4,256,0.10,12/3/2021,14:59
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.60,6.65,29.9,263,0.16,12/6/2021,9:46
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.70,6.60,31.0,255,0.12,12/6/2021,9:57
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.43,6.63,32.0,256,0.43,12/6/2021,10:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.63,6.70,31.7,264,0.14,12/6/2021,15:39
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.06,6.53,31.0,258,0.09,12/6/2021,15:48
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.74,6.67,32.2,256,0.09,12/6/2021,16:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.42,6.44,31.0,251,0.09,12/7/2021,9:48
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.61,6.45,32.1,245,0.10,12/7/2021,9:56
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.14,6.60,31.9,249,0.12,12/7/2021,10:08
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.41,6.64,31.4,255,0.09,12/7/2021,15:40
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.54,6.44,32.6,256,0.08,12/7/2021,15:51
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.23,6.56,31.2,250,0.11,12/7/2021,16:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.29,6.59,31.0,264,0.07,12/8/2021,10:49
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.33,6.51,31.5,250,0.15,12/8/2021,10:57
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.34,6.76,31.3,256,0.11,12/8/2021,11:10
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.30,6.63,30.9,254,0.11,12/8/2021,15:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.35,6.74,30.0,255,0.16,12/8/2021,15:42
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.28,6.73,30.1,248,0.30,12/8/2021,15:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.35,6.58,30.9,254,0.13,12/9/2021,10:17
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.42,6.50,30.9,250,0.22,12/9/2021,10:27
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.39,6.65,31.7,249,0.09,12/9/2021,10:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.30,6.54,32.5,263,0.13,12/9/2021,15:35
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.38,6.44,31.6,250,0.19,12/9/2021,15:52
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.35,6.70,31.6,266,0.14,12/9/2021,16:03
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.33,6.68,31.4,254,0.09,12/10/2021,10:26
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.53,6.66,31.2,248,0.09,12/10/2021,10:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.27,6.72,31.0,251,0.10,12/10/2021,10:46
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.32,6.57,32.1,258,0.11,12/10/2021,15:30
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.28,6.73,32.2,255,0.09,12/10/2021,15:40
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.30,6.63,31.7,255,0.09,12/10/2021,15:53
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.34,6.37,31.4,253,0.08,12/13/2021,11:41
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.32,6.55,31.7,257,0.08,12/13/2021,11:52
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.17,6.53,32.0,253,0.11,12/13/2021,12:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.26,6.43,31.0,253,0.13,12/13/2021,15:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.38,6.57,31.7,262,0.10,12/13/2021,15:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.22,6.73,31.2,251,0.13,12/13/2021,16:02
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.20,6.87,29.8,255,0.08,12/14/2021,10:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.25,6.67,30.9,260,0.08,12/14/2021,10:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.22,6.60,30.6,263,0.07,12/14/2021,10:48
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.16,6.58,30.9,298,0.09,12/15/2021,10:22
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.31,6.51,28.8,268,0.13,12/16/2021,9:03
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.24,6.69,29.2,255,0.60,12/16/2021,9:19
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.08,6.67,29.7,258,0.14,12/16/2021,9:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.31,6.67,28.6,253,0.16,12/17/2021,10:25
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.27,6.50,29.1,242,0.18,12/17/2021,10:34
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.16,6.40,28.8,249,0.10,12/17/2021,10:47
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.14,6.95,29.9,247,0.21,12/20/2021,11:17
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.18,6.68,28.7,254,0.44,12/21/2021,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.32,6.63,29.1,253,0.36,12/21/2021,10:26
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.19,6.70,29.2,257,0.28,12/21/2021,10:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.13,6.50,29.4,250,0.12,12/22/2021,10:32
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.21,6.67,29.2,242,0.13,12/22/2021,10:44
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.22,6.57,29.3,247,0.09,12/22/2021,10:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.19,6.53,30.2,257,0.08,12/23/2021,11:03
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.43,6.67,30.8,278,0.10,12/23/2021,11:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.72,6.71,30.2,258,0.10,12/23/2021,11:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.96,6.69,28.7,251,0.10,12/24/2021,10:10
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.58,6.42,29.3,242,0.15,12/24/2021,10:19
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.62,6.59,31.2,248,0.12,12/24/2021,10:29
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.33,6.58,31.0,242,0.11,12/27/2021,10:06
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.67,6.48,29.8,240,0.11,12/27/2021,10:17
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.04,6.51,30.6,242,0.09,12/27/2021,10:30
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.78,6.54,29.6,246,0.08,12/28/2021,10:14
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.74,6.56,29.6,240,0.11,12/28/2021,10:24
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.50,6.72,29.2,245,0.10,12/28/2021,10:35
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.68,6.50,29.8,248,0.11,12/29/2021,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.70,6.58,29.7,241,0.09,12/29/2021,10:25
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.58,6.66,30.1,256,0.09,12/29/2021,10:39
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.54,6.51,29.5,270,0.11,12/30/2021,10:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.36,6.67,30.9,258,0.11,12/31/2021,10:41
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.21,6.55,30.6,250,0.18,12/31/2021,10:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.05,6.81,30.8,253,0.10,12/31/2021,11:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.11,6.67,30.0,259,0.08,1/3/2022,10:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.20,6.43,29.9,253,0.08,1/3/2022,10:10
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.14,6.51,29.8,245,0.08,1/3/2022,10:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,1.09,6.55,28.6,245,0.09,1/4/2022,10:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.21,6.62,28.4,243,0.09,1/4/2022,10:21
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,1.14,6.67,30.5,247,0.10,1/4/2022,10:34
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.99,6.59,28.7,247,0.09,1/5/2022,10:13
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.00,6.45,29.4,237,0.14,1/5/2022,10:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.93,6.66,29.2,246,0.08,1/5/2022,10:47
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.84,6.62,29.5,244,0.10,1/6/2022,10:37
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.47,6.59,29.0,243,0.15,1/6/2022,10:51
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.24,6.57,29.0,257,0.09,1/6/2022,11:06
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.35,6.62,30.9,251,0.12,1/7/2022,10:42
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.25,6.57,29.9,258,0.09,1/7/2022,11:01
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.19,6.54,29.7,245,0.12,1/7/2022,11:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.09,6.65,28.7,251,0.09,1/10/2022,10:21
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.05,6.61,27.7,247,0.16,1/10/2022,10:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.06,6.67,29.5,252,0.12,1/10/2022,10:43
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.12,6.55,28.8,251,0.09,1/11/2022,11:00
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.05,6.56,28.5,250,0.11,1/11/2022,11:17
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.34,6.83,29.4,252,0.07,1/11/2022,0:00
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.31,6.49,29.5,250,0.10,1/12/2022,10:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.34,6.55,28.5,250,0.17,1/12/2022,10:42
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.39,6.73,28.6,249,0.07,1/12/2022,10:52
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.38,6.51,28.9,247,0.14,1/13/2022,10:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.37,6.50,29.5,245,0.09,1/13/2022,11:18
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.37,6.64,30.2,253,0.07,1/13/2022,11:29
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.28,6.58,29.4,249,0.16,1/14/2022,10:28
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.34,6.60,28.8,241,0.09,1/14/2022,10:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.37,6.83,29.6,248,0.09,1/14/2022,10:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.34,6.73,27.3,244,0.11,1/17/2022,10:04
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.34,6.50,27.9,242,0.09,1/17/2022,10:21
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.35,6.59,28.3,247,0.07,1/17/2022,10:33
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.34,6.60,30.4,255,0.09,1/18/2022,10:16
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.34,6.57,29.5,248,0.08,1/18/2022,10:34
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.27,6.86,28.0,295,0.08,1/19/2022,9:28
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.31,6.60,27.7,251,0.10,1/19/2022,9:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.22,6.52,27.6,247,0.07,1/19/2022,9:50
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.21,6.48,25.8,247,0.10,1/20/2022,8:26
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.19,6.43,26.2,245,0.07,1/20/2022,8:38
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.27,6.35,24.4,246,0.15,1/20/2022,8:49
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.23,6.53,26.5,246,0.10,1/21/2022,9:29
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.23,6.54,25.6,251,0.09,1/21/2022,9:57
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.22,6.68,27.0,251,0.09,1/21/2022,10:11
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.31,6.59,27.1,247,0.08,1/24/2022,9:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.40,6.65,25.1,240,0.08,1/24/2022,9:23
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.14,6.59,26.8,230,0.08,1/24/2022,9:45
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.15,6.46,26.3,243,0.17,1/25/2022,8:47
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.14,6.36,26.1,244,0.07,1/25/2022,8:56
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.35,6.42,26.4,242,0.40,1/25/2022,9:05
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.00,7.07,24.3,267,0.26,1/26/2022,8:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.88,6.52,26.0,237,0.23,1/28/2022,8:12
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.80,6.50,27.0,230,0.89,1/31/2022,9:20
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,1.25,6.31,26.4,222,0.40,1/31/2022,9:32
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.96,6.40,28.1,230,0.08,1/31/2022,9:44
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.78,6.47,27.4,223,0.28,2/1/2022,9:24
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.80,6.27,27.9,212,0.15,2/1/2022,9:55
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.38,6.31,27.8,228,0.14,2/1/2022,10:08
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.19,6.50,28.5,231,0.13,2/2/2022,11:42
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.25,6.46,29.6,237,0.27,2/2/2022,11:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.34,6.45,30.0,235,0.24,2/2/2022,12:09
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.26,6.42,28.1,221,0.26,2/3/2022,9:36
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.23,6.31,27.3,216,0.57,2/3/2022,9:49
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.23,6.58,27.9,218,0.11,2/3/2022,9:58
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.20,6.28,28.9,221,0.11,2/4/2022,10:16
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.19,6.32,29.3,215,0.10,2/4/2022,10:26
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.74,6.61,29.5,225,0.17,2/4/2022,10:41
WSF2 (Water Mission erosion chlorinator),Evaluation,SP1,Far,1632.89,0.51,6.41,29.4,206,0.43,2/7/2022,10:19
WSF2 (Water Mission erosion chlorinator),Evaluation,SP9,Near,719.64,0.42,6.33,30.3,197,0.13,2/7/2022,10:31
WSF2 (Water Mission erosion chlorinator),Evaluation,SP7,Far,1320.13,0.18,6.68,29.9,200,0.19,2/7/2022,10:45
